CustomerId,CustomerNumber,CustomerName,CustomerType,Industry,Region,CountryCode,Status,CreatedDate,GoLiveDate,BillingCurrency,DefaultTaxRate,CreditRating,IsAutoPay
1,CUST-000001,Customer 00001,SmallBusiness,Technology,East US,US,Active,2023-01-26,2023-03-15,USD,0.0000,624,1
2,CUST-000002,Customer 00002,SmallBusiness,Media,East US,US,Active,2023-01-31,2023-02-06,USD,0.0825,681,0
3,CUST-000003,Customer 00003,SmallBusiness,Education,UK South,GB,Suspended,2024-03-05,2024-03-20,USD,0.0000,661,0
4,CUST-000004,Customer 00004,SmallBusiness,Manufacturing,Central US,US,Active,2023-10-12,2023-10-22,USD,0.0725,629,1
5,CUST-000005,Customer 00005,MidMarket,Energy,Central US,US,Active,2024-09-10,2024-09-27,USD,0.0725,620,1
6,CUST-000006,Customer 00006,SmallBusiness,Technology,UK South,GB,Active,2025-06-25,2025-08-20,USD,0.0000,696,0
7,CUST-000007,Customer 00007,MidMarket,Logistics,East US,US,Active,2025-05-25,2025-06-09,USD,0.0650,663,1
8,CUST-000008,Customer 00008,MidMarket,Finance,West US,US,Active,2024-11-17,2024-12-05,USD,0.0500,705,1
9,CUST-000009,Customer 00009,MidMarket,Media,Canada Central,CA,Active,2023-10-04,2023-12-03,USD,0.0650,608,1
10,CUST-000010,Customer 00010,SmallBusiness,Finance,East US,US,Active,2025-04-04,2025-04-25,USD,0.0825,741,1
11,CUST-000011,Customer 00011,Enterprise,Energy,Canada Central,CA,Active,2024-02-10,2024-04-07,USD,0.0500,706,0
12,CUST-000012,Customer 00012,SmallBusiness,Logistics,UK South,GB,Active,2023-09-27,2023-11-14,USD,0.0500,840,1
13,CUST-000013,Customer 00013,SmallBusiness,Retail,East US,US,Active,2025-05-31,2025-06-08,USD,0.0725,612,1
14,CUST-000014,Customer 00014,SmallBusiness,Media,UK South,GB,Suspended,2024-04-24,2024-05-28,USD,0.0000,638,0
15,CUST-000015,Customer 00015,MidMarket,Manufacturing,UK South,GB,Active,2025-02-07,2025-02-25,USD,0.0725,660,1
16,CUST-000016,Customer 00016,SmallBusiness,Finance,Central US,US,Suspended,2024-05-27,2024-07-15,USD,0.0650,839,1
17,CUST-000017,Customer 00017,SmallBusiness,Media,West US,US,Suspended,2024-01-18,2024-03-07,USD,0.0825,745,1
18,CUST-000018,Customer 00018,Enterprise,Education,East US,US,Active,2024-01-07,2024-03-04,USD,0.0500,620,1
19,CUST-000019,Customer 00019,Enterprise,Media,Canada Central,CA,Active,2025-04-15,2025-04-20,USD,0.0500,823,0
20,CUST-000020,Customer 00020,MidMarket,Logistics,West US,US,Churned,2023-09-29,2023-11-02,USD,0.0825,682,0
21,CUST-000021,Customer 00021,SmallBusiness,Media,Canada Central,CA,Active,2024-11-18,2024-12-30,USD,0.0500,695,1
22,CUST-000022,Customer 00022,SmallBusiness,Technology,East US,US,Active,2024-08-25,2024-09-30,USD,0.0000,697,1
23,CUST-000023,Customer 00023,SmallBusiness,Technology,East US,US,Active,2025-05-30,2025-06-21,USD,0.0725,689,1
24,CUST-000024,Customer 00024,SmallBusiness,Energy,UK South,GB,Suspended,2024-08-13,2024-09-13,USD,0.0500,628,1
25,CUST-000025,Customer 00025,SmallBusiness,Healthcare,Canada Central,CA,Active,2023-12-29,2024-01-26,USD,0.0000,611,1
26,CUST-000026,Customer 00026,SmallBusiness,Technology,Central US,US,Active,2025-03-30,2025-05-25,USD,0.0725,651,1
27,CUST-000027,Customer 00027,MidMarket,Finance,Central US,US,Active,2024-04-18,2024-05-04,USD,0.0825,630,1
28,CUST-000028,Customer 00028,Enterprise,Technology,UK South,GB,Active,2025-05-06,2025-05-07,USD,0.0725,826,1
29,CUST-000029,Customer 00029,SmallBusiness,Logistics,Canada Central,CA,Active,2023-03-02,2023-03-13,USD,0.0725,726,1
30,CUST-000030,Customer 00030,SmallBusiness,Technology,UK South,GB,Active,2024-11-08,2024-12-24,USD,0.0000,611,0
31,CUST-000031,Customer 00031,SmallBusiness,Media,East US,US,Active,2023-02-21,2023-03-31,USD,0.0825,621,0
32,CUST-000032,Customer 00032,MidMarket,Technology,East US,US,Active,2024-09-01,2024-09-06,USD,0.0825,706,1
33,CUST-000033,Customer 00033,SmallBusiness,Media,East US,US,Active,2024-09-26,2024-10-02,USD,0.0650,684,1
34,CUST-000034,Customer 00034,SmallBusiness,Education,Central US,US,Active,2023-09-02,2023-09-19,USD,0.0000,584,1
