PaymentId,InvoiceId,CustomerId,PaymentDate,PaymentMethod,PaymentStatus,Amount,ReferenceNumber,ProcessorName
1,1,1,2025-06-30,ACH,Settled,56.3335,PAY-000000001,Manual
2,3,1,2025-08-30,Check,Settled,76.2654,PAY-000000002,Fiserv
3,4,1,2025-09-29,Wire,Settled,20.6673,PAY-000000003,Fiserv
4,4,1,2025-09-01,ACH,Settled,35.4303,PAY-000000004,Fiserv
5,6,1,2025-11-25,Check,Settled,6.9394,PAY-000000005,Adyen
6,6,1,2025-11-30,Wire,Settled,16.9480,PAY-000000006,Stripe
7,7,1,2025-12-21,Wire,Settled,69.8653,PAY-000000007,Adyen
8,8,1,2026-01-30,ACH,Settled,66.6750,PAY-000000008,Stripe
9,9,1,2026-02-15,Card,Settled,14.1799,PAY-000000009,Adyen
10,9,1,2026-02-08,Card,Settled,3.6391,PAY-000000010,Manual
11,9,1,2026-03-02,Card,Settled,11.9254,PAY-000000011,Manual
12,10,1,2026-04-02,ACH,Settled,58.9802,PAY-000000012,Manual
13,11,1,2026-05-30,ACH,Settled,24.3943,PAY-000000013,Manual
14,11,1,2026-05-28,Card,Settled,5.1833,PAY-000000014,Stripe
15,11,1,2026-05-17,Card,Settled,17.0828,PAY-000000015,Adyen
16,12,1,2025-06-30,Check,Settled,101.8727,PAY-000000016,Manual
17,12,1,2025-06-24,ACH,Settled,26.5598,PAY-000000017,Stripe
18,12,1,2025-06-15,ACH,Settled,31.3933,PAY-000000018,Fiserv
19,13,1,2025-07-24,Card,Settled,230.7182,PAY-000000019,Fiserv
20,14,1,2025-08-29,ACH,Settled,64.0594,PAY-000000020,Stripe
21,14,1,2025-08-08,Wire,Settled,20.0963,PAY-000000021,Manual
22,14,1,2025-08-30,Check,Settled,43.6449,PAY-000000022,Fiserv
23,15,1,2025-09-06,Wire,Settled,253.8199,PAY-000000023,Manual
24,16,1,2025-10-04,Check,Settled,199.2590,PAY-000000024,Fiserv
25,17,1,2025-11-11,Check,Settled,296.7965,PAY-000000025,Manual
26,18,1,2025-12-24,Card,Settled,175.1207,PAY-000000026,Adyen
27,20,1,2026-02-08,Card,Settled,272.5016,PAY-000000027,Manual
28,21,1,2026-04-17,ACH,Settled,249.7316,PAY-000000028,Stripe
29,22,1,2026-05-29,Wire,Settled,227.9186,PAY-000000029,Manual
30,23,1,2025-06-13,Card,Settled,45.5594,PAY-000000030,Stripe
31,24,1,2025-07-07,Wire,Settled,36.6584,PAY-000000031,Stripe
32,25,1,2025-08-10,Card,Settled,34.7092,PAY-000000032,Fiserv
33,27,1,2025-10-03,Card,Settled,25.9778,PAY-000000033,Fiserv
34,28,1,2025-11-13,Check,Settled,16.0370,PAY-000000034,Fiserv
35,28,1,2025-11-03,Wire,Settled,9.9157,PAY-000000035,Adyen
36,28,1,2025-11-26,ACH,Settled,5.0445,PAY-000000036,Manual
37,29,1,2025-12-12,ACH,Settled,37.7600,PAY-000000037,Manual
38,30,1,2026-01-20,Card,Settled,28.1304,PAY-000000038,Fiserv
39,31,1,2026-02-04,Wire,Settled,39.4532,PAY-000000039,Fiserv
40,32,1,2026-04-13,Card,Settled,26.0732,PAY-000000040,Fiserv
41,33,1,2026-05-27,Check,Settled,43.8604,PAY-000000041,Adyen
42,34,1,2025-06-10,Wire,Settled,314.8199,PAY-000000042,Fiserv
43,35,1,2025-07-11,ACH,Settled,88.1399,PAY-000000043,Stripe
44,35,1,2025-07-17,ACH,Settled,123.0324,PAY-000000044,Manual
45,36,1,2025-08-24,Check,Settled,332.0561,PAY-000000045,Adyen
46,37,1,2025-09-17,Check,Settled,94.6040,PAY-000000046,Stripe
47,37,1,2025-09-30,ACH,Settled,125.5816,PAY-000000047,Manual
48,38,1,2025-10-09,Card,Settled,186.5779,PAY-000000048,Fiserv
49,38,1,2025-10-10,Card,Settled,20.1181,PAY-000000049,Stripe
