SubscriptionId,CustomerId,RatePlanId,SubscriptionNumber,StartDate,EndDate,Status,Quantity,DiscountPercent,ContractTermMonths,RenewalDate,SalesChannel
1,1,21,SUB-00000001,2024-03-07,,Active,2,5.0000,24,2026-02-25,Marketplace
2,1,10,SUB-00000002,2025-05-25,,Active,1,2.5000,24,2027-05-15,Marketplace
3,1,17,SUB-00000003,2024-04-11,,Active,5,0.0000,24,2026-04-01,Direct
4,1,1,SUB-00000004,2024-09-19,,Active,2,2.5000,36,2027-09-04,Marketplace
5,2,17,SUB-00000005,2024-10-11,,Active,1,0.0000,12,2025-10-06,Marketplace
6,2,5,SUB-00000006,2025-08-22,,Active,1,7.5000,36,2028-08-06,Marketplace
7,2,21,SUB-00000007,2024-03-26,,Active,2,12.5000,24,2026-03-16,Partner
8,2,1,SUB-00000008,2025-03-29,,Active,5,12.5000,36,2028-03-13,Direct
9,3,14,SUB-00000009,2024-06-29,,Active,3,5.0000,24,2026-06-19,Marketplace
10,3,17,SUB-00000010,2024-04-24,,Active,5,12.5000,12,2025-04-19,Partner
11,3,9,SUB-00000011,2024-04-06,,Active,2,2.5000,24,2026-03-27,Direct
12,4,9,SUB-00000012,2025-06-27,,Active,5,2.5000,24,2027-06-17,Marketplace
13,4,6,SUB-00000013,2025-02-09,,Active,2,7.5000,12,2026-02-04,Marketplace
14,5,7,SUB-00000014,2024-09-27,,Active,12,0.0000,24,2026-09-17,Partner
15,5,18,SUB-00000015,2024-11-11,,Active,1,10.0000,24,2026-11-01,Direct
16,5,24,SUB-00000016,2024-10-07,,Active,22,5.0000,12,2025-10-02,Partner
17,5,11,SUB-00000017,2025-01-26,,Active,7,12.5000,24,2027-01-16,Partner
18,6,21,SUB-00000018,2025-08-20,,Active,1,10.0000,36,2028-08-04,Marketplace
19,7,2,SUB-00000019,2025-06-09,,Active,12,12.5000,12,2026-06-04,Partner
20,7,14,SUB-00000020,2025-06-09,,Active,19,2.5000,12,2026-06-04,Marketplace
21,7,18,SUB-00000021,2025-07-24,,Active,5,0.0000,36,2028-07-08,Marketplace
22,7,11,SUB-00000022,2025-06-09,,Active,12,7.5000,12,2026-06-04,Direct
23,8,6,SUB-00000023,2024-12-05,,Active,16,0.0000,36,2027-11-20,Marketplace
24,8,2,SUB-00000024,2025-08-02,,Active,11,12.5000,24,2027-07-23,Partner
25,8,11,SUB-00000025,2025-08-01,,Active,18,0.0000,12,2026-07-27,Marketplace
26,9,3,SUB-00000026,2025-03-17,,Active,24,0.0000,24,2027-03-07,Marketplace
27,10,13,SUB-00000027,2025-06-24,,Active,1,10.0000,36,2028-06-08,Marketplace
28,10,1,SUB-00000028,2025-04-25,,Active,2,7.5000,12,2026-04-20,Marketplace
29,10,17,SUB-00000029,2025-08-13,,Active,3,0.0000,12,2026-08-08,Direct
30,11,20,SUB-00000030,2024-12-22,,Active,8,2.5000,12,2025-12-17,Direct
31,12,5,SUB-00000031,2024-12-29,,Active,4,0.0000,12,2025-12-24,Partner
32,12,17,SUB-00000032,2024-02-20,,Active,4,0.0000,24,2026-02-09,Direct
33,12,11,SUB-00000033,2024-08-02,,Active,3,7.5000,12,2025-07-28,Partner
34,13,13,SUB-00000034,2025-06-08,,Active,1,10.0000,36,2028-05-23,Partner
35,13,9,SUB-00000035,2025-06-08,,Active,3,2.5000,12,2026-06-03,Marketplace
36,14,2,SUB-00000036,2024-10-08,,Active,2,2.5000,36,2027-09-23,Direct
37,15,22,SUB-00000037,2025-04-26,2025-11-09,Cancelled,24,5.0000,12,2026-04-21,Partner
38,16,6,SUB-00000038,2025-06-15,,Active,2,7.5000,12,2026-06-10,Direct
39,16,10,SUB-00000039,2024-11-09,,Active,3,7.5000,24,2026-10-30,Direct
40,16,22,SUB-00000040,2024-07-15,,Active,1,10.0000,36,2027-06-30,Marketplace
41,16,2,SUB-00000041,2024-07-15,,Active,1,0.0000,24,2026-07-05,Partner
42,17,7,SUB-00000042,2025-09-09,2026-08-08,Cancelled,4,5.0000,36,2028-08-24,Direct
43,17,21,SUB-00000043,2024-04-08,,Active,5,2.5000,24,2026-03-29,Direct
44,17,9,SUB-00000044,2024-03-25,,Active,5,0.0000,36,2027-03-10,Direct
45,17,13,SUB-00000045,2025-04-18,,Active,3,0.0000,36,2028-04-02,Partner
