RatePlanId,PlanCode,PlanName,PlanTier,ServiceId,BillingFrequency,IncludedUnits,OveragePricePerUnit,MonthlyBaseFee,MinimumCommitment,EffectiveStartDate,EffectiveEndDate,IsActive
1,PLAN-SVC-QRY-BAS,Query Analytics Basic,Basic,1,Monthly,5000,0.020000,149.0000,0.0000,2024-01-01,,1
2,PLAN-SVC-QRY-STA,Query Analytics Standard,Standard,1,Monthly,25000,0.010000,268.2000,250.0000,2024-01-01,,1
3,PLAN-SVC-QRY-PRO,Query Analytics Pro,Pro,1,Monthly,100000,0.006000,476.8000,750.0000,2024-01-01,,1
4,PLAN-SVC-QRY-ENT,Query Analytics Enterprise,Enterprise,1,Monthly,500000,0.003000,968.5000,2500.0000,2024-01-01,,1
5,PLAN-SVC-API-BAS,API Gateway Calls Basic,Basic,2,Monthly,5000,0.020000,0.0000,0.0000,2024-01-01,,1
6,PLAN-SVC-API-STA,API Gateway Calls Standard,Standard,2,Monthly,25000,0.010000,0.0000,250.0000,2024-01-01,,1
7,PLAN-SVC-API-PRO,API Gateway Calls Pro,Pro,2,Monthly,100000,0.006000,0.0000,750.0000,2024-01-01,,1
8,PLAN-SVC-API-ENT,API Gateway Calls Enterprise,Enterprise,2,Monthly,500000,0.003000,0.0000,2500.0000,2024-01-01,,1
9,PLAN-SVC-RPT-BAS,Scheduled Reports Basic,Basic,3,Monthly,5000,0.020000,49.0000,0.0000,2024-01-01,,1
10,PLAN-SVC-RPT-STA,Scheduled Reports Standard,Standard,3,Monthly,25000,0.010000,88.2000,250.0000,2024-01-01,,1
11,PLAN-SVC-RPT-PRO,Scheduled Reports Pro,Pro,3,Monthly,100000,0.006000,156.8000,750.0000,2024-01-01,,1
12,PLAN-SVC-RPT-ENT,Scheduled Reports Enterprise,Enterprise,3,Monthly,500000,0.003000,318.5000,2500.0000,2024-01-01,,1
13,PLAN-SVC-ETL-BAS,Data Pipeline Jobs Basic,Basic,4,Monthly,5000,0.020000,299.0000,0.0000,2024-01-01,,1
14,PLAN-SVC-ETL-STA,Data Pipeline Jobs Standard,Standard,4,Monthly,25000,0.010000,538.2000,250.0000,2024-01-01,,1
15,PLAN-SVC-ETL-PRO,Data Pipeline Jobs Pro,Pro,4,Monthly,100000,0.006000,956.8000,750.0000,2024-01-01,,1
16,PLAN-SVC-ETL-ENT,Data Pipeline Jobs Enterprise,Enterprise,4,Monthly,500000,0.003000,1943.5000,2500.0000,2024-01-01,,1
17,PLAN-SVC-AIF-BAS,AI Inference Requests Basic,Basic,5,Monthly,5000,0.020000,0.0000,0.0000,2024-01-01,,1
18,PLAN-SVC-AIF-STA,AI Inference Requests Standard,Standard,5,Monthly,25000,0.010000,0.0000,250.0000,2024-01-01,,1
19,PLAN-SVC-AIF-PRO,AI Inference Requests Pro,Pro,5,Monthly,100000,0.006000,0.0000,750.0000,2024-01-01,,1
20,PLAN-SVC-AIF-ENT,AI Inference Requests Enterprise,Enterprise,5,Monthly,500000,0.003000,0.0000,2500.0000,2024-01-01,,1
21,PLAN-SVC-STR-BAS,Hot Storage Basic,Basic,6,Monthly,5000,0.020000,19.0000,0.0000,2024-01-01,,1
22,PLAN-SVC-STR-STA,Hot Storage Standard,Standard,6,Monthly,25000,0.010000,34.2000,250.0000,2024-01-01,,1
23,PLAN-SVC-STR-PRO,Hot Storage Pro,Pro,6,Monthly,100000,0.006000,60.8000,750.0000,2024-01-01,,1
24,PLAN-SVC-STR-ENT,Hot Storage Enterprise,Enterprise,6,Monthly,500000,0.003000,123.5000,2500.0000,2024-01-01,,1
